chain,k,unchanged_giro_schedule_valid_count,unchanged_recorded_activity_valid_count,unchanged_production_schedule_valid_count,fixed_trip_optimized_charging_reported_valid_count,fixed_trip_certificate_reverified_this_audit,duties,unchanged_schedule_rejected_duties,fixed_trip_optimized_charging_reverified_valid_count
2,38,0,1,0,38,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313;13306;13410,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313;13306;13410,38
2,39,0,1,0,39,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313;13306;13410;13405,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313;13306;13410;13405,39
2,40,0,1,0,40,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313;13306;13410;13405;13408,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313;13306;13410;13405;13408,40
3,2,0,0,0,2,True,13316uwt;13309,13316uwt;13309,2
3,3,0,0,0,3,True,13316uwt;13309;13323,13316uwt;13309;13323,3
3,4,0,0,0,4,True,13316uwt;13309;13323;13324t,13316uwt;13309;13323;13324t,4
3,5,0,0,0,5,True,13316uwt;13309;13323;13324t;13301,13316uwt;13309;13323;13324t;13301,5
3,6,0,0,0,6,True,13316uwt;13309;13323;13324t;13301;13321,13316uwt;13309;13323;13324t;13301;13321,6
3,7,0,1,0,7,True,13316uwt;13309;13323;13324t;13301;13321;13307,13316uwt;13309;13323;13324t;13301;13321;13307,7
3,8,0,1,0,8,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414,13316uwt;13309;13323;13324t;13301;13321;13307;13414,8
3,9,0,1,0,9,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304,9
3,10,0,1,0,10,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403,10
3,11,0,1,0,11,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413,11
3,12,0,1,0,12,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411,12
3,13,0,1,0,13,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318,13
3,14,0,1,0,14,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311,14
3,15,0,1,0,15,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326,15
3,16,0,1,0,16,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302,16
3,17,0,1,0,17,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407,17
3,18,0,1,0,18,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407;13308,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407;13308,18
3,19,0,1,0,19,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407;13308;13305,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407;13308;13305,19
3,20,0,1,0,20,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407;13308;13305;13404,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407;13308;13305;13404,20
3,21,0,1,0,21,True,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407;13308;13305;13404;13312,13316uwt;13309;13323;13324t;13301;13321;13307;13414;13304;13403;13413;13411;13318;13311;13326;13302;13407;13308;13305;13404;13312,21
