case_id,trip_count,station_count,route_count,soc_step,delayed_charging,tariff_shape,station_reachability_density,lp_agrees,integer_agrees,pricing_agrees,agreement,pricing_samples,pricing_max_absolute_error,cg_pool_columns,bnp_nodes,arc_variables,wall_s
random_0139,9,2,246,1.0,False,time_varying,0.7777777777777778,True,True,True,True,32,5.820766091346741e-11,50,2,744,0.08135031299752882
random_0140,10,2,982,2.0,True,flat,0.775,True,True,True,True,32,5.820766091346741e-11,29,1,3434,0.6196817960008048
random_0141,8,2,231,1.0,False,time_varying,0.84375,True,True,True,True,32,5.820766091346741e-11,63,3,822,0.1092881370059331
random_0142,12,2,373,2.0,True,time_varying,0.5833333333333334,True,True,True,True,32,8.731149137020111e-11,49,1,1874,0.18960525500006042
random_0143,10,2,177,1.0,True,time_varying,0.425,True,True,True,True,32,5.820766091346741e-11,36,3,1112,0.10551693299930776
random_0144,14,2,2299,1.0,True,flat,0.32142857142857145,True,True,True,True,32,5.820766091346741e-11,215,1,2484,0.8620649959993898
random_0145,14,1,356,1.0,True,time_varying,0.32142857142857145,True,True,True,True,32,5.820766091346741e-11,91,7,778,0.1679811880021589
random_0146,8,1,45,1.0,True,time_varying,0.5625,True,True,True,True,32,2.4016344468691386e-11,20,1,382,0.030863672000123188
random_0147,10,2,472,2.0,True,flat,0.475,True,True,True,True,32,5.820766091346741e-11,77,4,1971,0.4318759309971938
random_0148,12,2,2376,2.0,False,flat,0.6875,True,True,True,True,32,1.1641532182693481e-10,180,3,1184,0.38499150300049223
random_0149,8,2,51,2.0,False,flat,0.40625,True,True,True,True,32,2.9103830456733704e-11,22,1,226,0.05043645299883792
random_0150,12,2,428,2.0,False,time_varying,0.375,True,True,True,True,32,5.820766091346741e-11,68,4,739,0.11001407000003383
random_0151,10,1,41,1.0,True,time_varying,0.15,True,True,True,True,32,2.9103830456733704e-11,29,1,253,0.0336843589975615
random_0152,8,1,158,0.5,True,flat,0.625,True,True,True,True,32,5.820766091346741e-11,55,3,1017,0.1814978449983755
random_0153,9,1,271,0.5,False,time_varying,0.7777777777777778,True,True,True,True,32,5.820766091346741e-11,30,1,419,0.047494831997028086
random_0154,12,2,3342,0.5,False,flat,0.7708333333333334,True,True,True,True,32,1.7462298274040222e-10,202,4,2846,0.6960284050001064
random_0155,9,2,371,0.5,True,flat,0.75,True,True,True,True,32,1.1641532182693481e-10,97,6,1952,0.38969079900562065
random_0156,11,1,757,2.0,False,time_varying,0.9545454545454546,True,True,True,True,32,1.1641532182693481e-10,67,1,524,0.10817031599435722
random_0157,11,2,1860,0.5,False,flat,0.7727272727272727,True,True,True,True,32,5.820766091346741e-11,27,1,1564,0.231266824004706
random_0158,9,1,134,1.0,True,time_varying,0.6111111111111112,True,True,True,True,32,1.1641532182693481e-10,42,1,1248,0.09759057399787707
random_0159,9,2,511,2.0,True,flat,0.8888888888888888,True,True,True,True,32,5.820766091346741e-11,29,1,3551,0.5788696599993273
random_0160,14,1,333,1.0,False,time_varying,0.35714285714285715,True,True,True,True,32,5.820766091346741e-11,60,1,367,0.0513946049977676
random_0161,8,1,56,1.0,True,flat,0.5625,True,True,True,True,32,2.9103830456733704e-11,33,1,538,0.045182533001934644
random_0162,13,1,1526,1.0,True,time_varying,0.5,True,True,True,True,32,5.820766091346741e-11,93,5,1623,0.38428930900408886
random_0163,10,1,289,1.0,False,time_varying,0.8,True,True,True,True,32,5.820766091346741e-11,37,1,286,0.03922941500059096
random_0164,14,1,1781,1.0,True,time_varying,0.5714285714285714,True,True,True,True,32,1.1641532182693481e-10,114,6,2386,0.6835710429950268
random_0165,12,2,2296,1.0,True,flat,0.75,True,True,True,True,32,1.1641532182693481e-10,177,5,4162,1.0467191909992835
random_0166,13,1,1101,0.5,False,flat,0.5384615384615384,True,True,True,True,32,2.9103830456733704e-10,164,1,938,0.1632681710034376
random_0167,11,1,115,2.0,False,time_varying,0.36363636363636365,True,True,True,True,32,1.1641532182693481e-10,55,1,296,0.04464788000041153
random_0168,13,2,1092,1.0,True,flat,0.4423076923076923,True,True,True,True,32,5.820766091346741e-11,148,4,3067,0.6637786110004527
random_0169,8,2,187,2.0,True,time_varying,0.84375,True,True,True,True,32,1.1641532182693481e-10,55,4,1376,0.21126195400574943
random_0170,9,1,61,2.0,False,flat,0.2777777777777778,True,True,True,True,32,2.9103830456733704e-11,38,2,163,0.049850044000777416
random_0171,9,1,162,2.0,True,time_varying,0.5,True,True,True,True,32,5.820766091346741e-11,29,1,813,0.09239042099943617
random_0172,12,2,584,1.0,True,time_varying,0.6041666666666666,True,True,True,True,32,5.820766091346741e-11,104,1,2797,0.40838033500040183
random_0173,8,1,74,2.0,True,time_varying,0.375,True,True,True,True,32,2.546585164964199e-11,29,1,523,0.0463297890019021
random_0174,14,1,2695,0.5,True,flat,0.5357142857142857,True,True,True,True,32,1.1641532182693481e-10,167,16,2255,1.0211965779963066
random_0175,13,2,1732,2.0,True,flat,0.7115384615384616,True,False,True,False,32,2.3283064365386963e-10,193,1,3105,0.5536408620027942
random_0176,14,2,671,2.0,False,flat,0.3392857142857143,True,True,True,True,32,2.9103830456733704e-10,112,7,1108,0.21053376000054413
random_0177,9,1,74,1.0,False,flat,0.5555555555555556,True,True,True,True,32,2.9103830456733704e-11,39,2,207,0.04069589699793141
random_0178,8,1,22,0.5,False,time_varying,0.5,True,True,True,True,32,2.9103830456733704e-11,14,1,119,0.021209037004155107
random_0179,11,1,668,1.0,False,time_varying,0.5909090909090909,True,True,True,True,32,5.820766091346741e-11,93,3,676,0.11379954899894074
random_0180,11,1,89,1.0,True,flat,0.36363636363636365,True,True,True,True,32,3.126388037344441e-11,43,3,447,0.05497534800088033
random_0181,13,1,1014,2.0,False,flat,0.6923076923076923,True,True,True,True,32,5.820766091346741e-11,61,1,364,0.08135021299676737
random_0182,13,1,534,0.5,True,flat,0.38461538461538464,True,True,True,True,32,8.731149137020111e-11,122,5,1278,0.21981673799746204
random_0183,11,1,183,2.0,True,time_varying,0.45454545454545453,True,True,True,True,32,5.820766091346741e-11,36,1,1063,0.08607515200128546
random_0184,8,2,139,1.0,False,time_varying,0.59375,True,True,True,True,32,2.9103830456733704e-11,26,1,439,0.043736274004913867
random_0185,12,2,789,0.5,True,time_varying,0.7083333333333334,True,False,True,False,32,2.9103830456733704e-11,85,1,2538,0.2924492700039991
random_0186,12,2,238,2.0,False,flat,0.4375,True,True,True,True,32,5.820766091346741e-11,46,1,252,0.04412441200111061
random_0187,11,2,287,1.0,False,time_varying,0.4772727272727273,True,True,True,True,32,2.9103830456733704e-11,62,6,716,0.11247038099827478
random_0188,11,1,42,2.0,False,flat,0.6363636363636364,True,True,True,True,32,5.820766091346741e-11,30,2,149,0.04009786099777557
random_0189,14,1,5859,0.5,False,time_varying,0.75,True,False,True,False,32,1.7462298274040222e-10,134,1,1552,0.6224921989996801
random_0190,8,2,241,0.5,False,time_varying,0.875,True,True,True,True,32,2.9103830456733704e-11,23,1,460,0.04440353099926142
random_0191,10,2,568,0.5,False,flat,0.625,True,True,True,True,32,2.9103830456733704e-11,111,6,708,0.17005552900081966
random_0192,12,1,736,1.0,False,time_varying,0.5,True,True,True,True,32,5.820766091346741e-11,119,8,479,0.16790836000291165
random_0193,10,2,575,0.5,False,flat,0.825,True,True,True,True,32,1.1641532182693481e-10,41,1,814,0.10535064100258751
random_0194,12,2,939,1.0,True,flat,0.4583333333333333,True,False,True,False,32,5.820766091346741e-11,108,3,2295,0.44526180600223597
random_0195,11,2,525,1.0,True,flat,0.6363636363636364,True,True,True,True,32,1.1641532182693481e-10,45,1,1420,0.14789525199739728
random_0196,13,2,1322,2.0,False,flat,0.5192307692307693,True,True,True,True,32,1.1641532182693481e-10,127,6,793,0.21020938199944794
random_0197,11,2,1323,1.0,True,flat,0.7954545454545454,True,True,True,True,32,1.1641532182693481e-10,133,4,3398,0.5571780690006563
