case,route_index_zero_based,trip_count,shared,target_denominator,coverage,jaccard,union_denominator,source_trip_ids,shared_trip_ids,charge_starts,fleet_size,fleet_overcovered_trips,input_hash
w3_k05_fee0,2,23,0,22,0.0,0.0,45,"[""491"", ""494"", ""584"", ""587"", ""590"", ""594"", ""506"", ""510"", ""707"", ""709"", ""514"", ""518"", ""408"", ""281"", ""287"", ""429"", ""299"", ""441"", ""445"", ""450"", ""958"", ""961"", ""661""]",[],6,5,3,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4
w3_k05_fee0,4,12,0,22,0.0,0.0,34,"[""886"", ""779"", ""205"", ""924"", ""720"", ""721"", ""823"", ""826"", ""425"", ""208"", ""306"", ""212""]",[],3,5,3,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4
w3_k05_fee5,2,23,0,22,0.0,0.0,45,"[""491"", ""494"", ""584"", ""587"", ""590"", ""594"", ""506"", ""510"", ""707"", ""709"", ""514"", ""518"", ""408"", ""281"", ""287"", ""429"", ""299"", ""441"", ""445"", ""450"", ""958"", ""961"", ""661""]",[],1,5,3,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4
w3_k05_fee5,4,12,0,22,0.0,0.0,34,"[""886"", ""779"", ""205"", ""924"", ""720"", ""721"", ""823"", ""826"", ""425"", ""208"", ""306"", ""212""]",[],1,5,3,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4
w3_k10_fee0,0,15,0,22,0.0,0.0,37,"[""360"", ""363"", ""491"", ""494"", ""779"", ""205"", ""924"", ""720"", ""721"", ""823"", ""826"", ""425"", ""208"", ""306"", ""212""]",[],3,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee0,5,19,0,22,0.0,0.0,41,"[""769"", ""685"", ""771"", ""772"", ""365"", ""368"", ""495"", ""498"", ""248"", ""281"", ""933"", ""937"", ""292"", ""296"", ""730"", ""731"", ""313"", ""317"", ""223""]",[],4,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee0,7,14,0,22,0.0,0.0,36,"[""23"", ""36"", ""49"", ""68"", ""81"", ""100"", ""113"", ""126"", ""139"", ""154"", ""165"", ""178"", ""672"", ""675""]",[],12,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee0,8,36,0,22,0.0,0.0,58,"[""880"", ""571"", ""573"", ""884"", ""776"", ""369"", ""237"", ""206"", ""218"", ""300"", ""944"", ""948"", ""316"", ""318"", ""845"", ""848"", ""849"", ""852"", ""462"", ""465"", ""748"", ""749"", ""859"", ""860"", ""861"", ""862"", ""472"", ""475"", ""561"", ""564"", ""565"", ""568"", ""875"", ""876"", ""767"", ""768""]",[],9,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee0,9,22,0,22,0.0,0.0,44,"[""2"", ""10"", ""30"", ""43"", ""62"", ""75"", ""88"", ""101"", ""114"", ""127"", ""142"", ""155"", ""170"", ""179"", ""978"", ""979"", ""678"", ""681"", ""682"", ""683"", ""684"", ""986""]",[],16,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee5,0,15,0,22,0.0,0.0,37,"[""360"", ""363"", ""491"", ""494"", ""779"", ""205"", ""924"", ""720"", ""721"", ""823"", ""826"", ""425"", ""208"", ""306"", ""212""]",[],1,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee5,5,19,0,22,0.0,0.0,41,"[""769"", ""685"", ""771"", ""772"", ""365"", ""368"", ""495"", ""498"", ""248"", ""281"", ""933"", ""937"", ""292"", ""296"", ""730"", ""731"", ""313"", ""317"", ""223""]",[],1,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee5,7,14,0,22,0.0,0.0,36,"[""23"", ""36"", ""49"", ""68"", ""81"", ""100"", ""113"", ""126"", ""139"", ""154"", ""165"", ""178"", ""672"", ""675""]",[],5,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee5,8,36,0,22,0.0,0.0,58,"[""880"", ""571"", ""573"", ""884"", ""776"", ""369"", ""237"", ""206"", ""218"", ""300"", ""944"", ""948"", ""316"", ""318"", ""845"", ""848"", ""849"", ""852"", ""462"", ""465"", ""748"", ""749"", ""859"", ""860"", ""861"", ""862"", ""472"", ""475"", ""561"", ""564"", ""565"", ""568"", ""875"", ""876"", ""767"", ""768""]",[],5,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee5,9,22,0,22,0.0,0.0,44,"[""2"", ""10"", ""30"", ""43"", ""62"", ""75"", ""88"", ""101"", ""114"", ""127"", ""142"", ""155"", ""170"", ""179"", ""978"", ""979"", ""678"", ""681"", ""682"", ""683"", ""684"", ""986""]",[],7,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
