SL,ST,ET,EL,Energy used
GMV_H,22:48,23:12,PC_7,18.3059998
GMV_H,16:20,16:47,PC_7,18.3059998
GMV_H,6:23,6:47,PC_7,18.3059998
13329,9:15,9:27,PC_3,9.28999996
13329,25:16,25:27,PC_3,9.28999996
13329,17:45,17:57,PC_3,9.28999996
13329,22:16,22:27,PC_3,9.28999996
PC_7,18:30,18:53,GMV_G,18.6380005
13722,14:07,14:12,PC_9,5.03599977
13722,8:52,8:57,PC_9,5.03599977
13329,13:45,13:57,PC_3,9.28999996
13329,20:46,20:57,PC_3,9.28999996
13329,9:45,9:57,PC_3,9.28999996
13329,19:16,19:27,PC_3,9.28999996
13329,19:46,19:57,PC_3,9.28999996
13329,21:16,21:27,PC_3,9.28999996
13329,22:46,22:57,PC_3,9.28999996
13329,15:45,15:57,PC_3,9.28999996
13329,18:16,18:27,PC_3,9.28999996
13329,23:46,23:57,PC_3,9.28999996
13329,21:46,21:57,PC_3,9.28999996
13329,11:15,11:27,PC_3,9.28999996
HED_D,11:52,12:17,PC_5,19.8619995
HED_D,14:50,15:17,PC_5,19.8619995
PC_10,11:47,12:22,HED_E,22.3409996
HED_D,10:48,11:17,PC_10,21.3279991
HED_D,12:37,13:07,PC_10,21.3279991
HED_D,15:35,16:07,PC_10,21.3279991
HED_D,14:55,15:27,PC_10,21.3279991
HED_D,15:25,15:57,PC_10,21.3279991
HED_D,5:37,6:07,PC_10,21.3279991
HED_D,5:57,6:27,PC_10,21.3279991
HED_D,9:48,10:17,PC_10,21.3279991
HED_D,13:56,14:27,PC_10,21.3279991
HED_D,10:18,10:47,PC_10,21.3279991
HED_D,6:37,7:07,PC_10,21.3279991
HED_D,19:43,20:12,PC_10,21.3279991
HED_D,23:13,23:42,PC_10,21.3279991
HED_D,24:31,24:57,PC_10,21.3279991
HED_D,9:18,9:47,PC_10,21.3279991
HED_D,16:05,16:37,PC_10,21.3279991
HED_D,8:47,9:17,PC_10,21.3279991
HED_D,7:17,7:47,PC_10,21.3279991
HED_D,17:05,17:37,PC_10,21.3279991
HED_D,16:55,17:27,PC_10,21.3279991
HED_D,12:57,13:27,PC_10,21.3279991
HED_D,8:17,8:47,PC_10,21.3279991
HED_D,15:15,15:47,PC_10,21.3279991
HED_D,16:35,17:07,PC_10,21.3279991
HED_D,17:35,18:07,PC_10,21.3279991
HED_D,13:17,13:47,PC_10,21.3279991
HED_D,13:36,14:07,PC_10,21.3279991
HED_D,20:13,20:42,PC_10,21.3279991
HED_D,11:18,11:47,PC_10,21.3279991
HED_D,19:12,19:42,PC_10,21.3279991
HED_D,13:56,14:27,PC_10,21.3279991
HED_D,17:25,17:57,PC_10,21.3279991
HED_D,17:56,18:27,PC_10,21.3279991
HED_D,18:17,18:47,PC_10,21.3279991
HED_D,25:01,25:27,PC_10,21.3279991
PC_10,13:47,14:22,HED_E,22.3409996
PC_10,19:12,19:46,HED_E,22.3409996
PC_10,10:17,10:53,HED_E,22.3409996
PC_10,8:47,9:23,HED_E,22.3409996
PC_10,15:07,15:43,HED_E,22.3409996
PC_10,13:07,13:42,HED_E,22.3409996
PC_10,21:12,21:44,HED_E,22.3409996
PC_10,15:27,16:03,HED_E,22.3409996
PC_10,24:12,24:41,HED_E,22.3409996
PC_10,22:42,23:13,HED_E,22.3409996
PC_10,22:12,22:43,HED_E,22.3409996
PC_10,19:42,20:16,HED_E,22.3409996
PC_10,24:57,25:26,HED_E,22.3409996
PC_10,23:12,23:43,HED_E,22.3409996
PC_10,15:07,15:43,HED_E,22.3409996
PC_10,18:47,19:21,HED_E,22.3409996
PC_10,17:07,17:41,HED_E,22.3409996
PC_10,17:47,18:21,HED_E,22.3409996
PC_10,15:47,16:23,HED_E,22.3409996
PC_10,15:27,16:03,HED_E,22.3409996
PC_10,21:42,22:14,HED_E,22.3409996
HED_D,14:36,15:07,PC_10,21.3279991
HED_D,15:45,16:17,PC_10,21.3279991
HED_D,21:43,22:12,PC_10,21.3279991
HED_D,17:25,17:57,PC_10,21.3279991
HED_D,21:13,21:42,PC_10,21.3279991
HED_D,7:37,8:07,PC_10,21.3279991
HED_D,12:17,12:47,PC_10,21.3279991
HED_D,6:17,6:47,PC_10,21.3279991
HED_D,16:45,17:17,PC_10,21.3279991
HED_D,16:15,16:47,PC_10,21.3279991
HED_D,18:42,19:12,PC_10,21.3279991
HED_D,22:13,22:42,PC_10,21.3279991
HED_D,7:57,8:27,PC_10,21.3279991
HED_D,7:57,8:27,PC_10,21.3279991
HED_D,22:43,23:12,PC_10,21.3279991
HED_D,11:48,12:17,PC_10,21.3279991
HED_D,17:15,17:47,PC_10,21.3279991
13215,16:07,16:24,3127,20.066
13215,17:07,17:24,3127,20.066
6480,16:55,17:14,13421,22.2320004
6480,16:55,17:14,13421,22.2320004
6480,17:25,17:44,13421,22.2320004
13215,14:42,14:59,3127,20.066
PC_5,9:17,9:48,HED_E,20.1809998
PC_5,7:47,8:20,HED_E,20.1809998
PC_5,10:37,11:08,HED_E,20.1809998
PC_5,11:37,12:08,HED_E,20.1809998
PC_5,12:37,13:08,HED_E,20.1809998
6480,16:10,16:31,13330,23.8880005
6480,17:10,17:31,13330,23.8880005
PC_5,17:57,18:28,HED_E,20.1809998
PC_5,18:57,19:26,HED_E,20.1809998
