tariff,terminal_policy,arm,matched_feasible_duties,station,start_min,end_min,active_buses,load_kW
peak12,>= reserve,uncapped_arrival,39,3127L_0,1323.0,1328.5532501,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1334.0,1345.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1345.0,1351.281749725,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1351.281749725,1354.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1363.0,1373.917249675,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1375.0,1384.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1393.0,1398.2,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1405.0,1414.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1423.0,1425.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1435.0,1444.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1451.0,1461.377249725,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1464.0,1474.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1481.0,1493.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1493.0,1493.27924975,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1493.27924975,1500.53524995,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1523.0,1526.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1526.0,1528.2,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1528.2,1531.2,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,319.0,325.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,339.0,346.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,359.0,366.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,379.0,386.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,397.0,402.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,413.0,421.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,423.0,431.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,434.0,441.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,444.0,451.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,455.0,462.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,465.0,472.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,476.0,483.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,488.0,495.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,499.0,506.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,509.0,516.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,519.0,526.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,529.0,536.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,539.0,546.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,549.0,556.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,559.0,566.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,569.0,576.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,579.0,584.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,589.0,594.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,607.0,614.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,617.0,624.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,627.0,634.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,647.0,648.29499925,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,657.0,660.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,747.0,747.777499125,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,869.0,876.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,879.0,886.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,889.0,896.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,899.0,903.2299995,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,909.0,909.287499375,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,920.0,927.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,930.0,937.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,940.0,943.2299995,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,950.0,957.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,961.0,968.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,971.0,978.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,982.0,988.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,992.0,998.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1001.0,1008.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1011.0,1018.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1021.0,1028.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1031.0,1038.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1041.0,1047.0,1,240.0
