station,minute,compressed_row
4808,537,168
4808,538,168
4808,539,169
4808,540,169
4808,541,169
4808,542,169
4808,543,169
4808,544,170
4808,545,170
4808,546,171
4808,547,171
4808,548,171
4808,549,171
4808,550,171
4808,551,171
4808,552,171
4808,553,171
4808,554,172
4808,555,172
4808,556,172
4808,557,172
4808,558,173
4808,559,174
4808,560,174
4808,561,174
4808,562,174
4808,563,175
4808,564,176
4808,565,176
4808,566,177
4808,567,177
4808,568,177
4808,569,177
4808,570,177
4808,571,177
4808,572,177
4808,573,178
4808,574,178
4808,575,179
4808,576,180
4808,577,180
4808,578,181
4808,579,182
4808,580,182
4808,581,183
4808,582,183
4808,583,183
4808,584,184
4808,585,184
4808,586,184
4808,587,184
4808,588,185
4808,589,185
4808,590,185
4808,591,185
4808,592,186
4808,593,186
4808,594,186
4808,595,186
4808,596,186
4808,597,187
4808,598,187
4808,599,187
4808,600,187
4808,601,187
4808,602,187
4808,603,187
4808,604,188
4808,605,188
4808,606,188
4808,607,188
4808,608,188
4808,609,188
4808,610,188
4808,611,188
4808,612,188
4808,613,188
4808,614,188
4808,615,188
4808,616,188
4808,617,189
4808,618,190
4808,619,190
4808,620,190
4808,621,190
4808,622,190
4808,623,191
4808,624,192
4808,625,192
4808,626,192
4808,627,193
4808,628,193
4808,629,193
4808,630,193
4808,631,193
4808,632,193
4808,633,193
4808,634,193
4808,635,193
4808,636,193
4808,637,194
4808,638,194
4808,639,194
4808,640,194
4808,641,194
4808,642,194
4808,643,194
4808,644,195
4808,645,195
4808,646,195
4808,647,196
4808,648,196
4808,649,196
4808,650,196
4808,651,196
4808,652,196
4808,653,196
4808,654,196
4808,655,196
4808,656,196
4808,657,197
4808,658,197
4808,659,197
4808,660,197
4808,661,197
4808,662,197
4808,663,197
4808,664,197
4808,665,197
4808,666,197
4808,667,197
4808,668,197
4808,669,197
4808,670,197
4808,671,197
4808,672,197
4808,673,197
4808,674,197
4808,675,197
4808,676,197
4808,677,197
4808,678,197
4808,679,197
4808,680,197
4808,681,198
4808,682,198
4808,683,198
4808,684,198
4808,685,198
4808,686,198
4808,687,199
4808,688,199
4808,689,199
4808,690,199
4808,691,199
4808,692,199
4808,693,199
4808,694,199
4808,695,199
4808,696,199
4808,697,200
4808,698,200
4808,699,200
4808,700,200
4808,701,200
4808,702,200
4808,703,200
4808,704,201
4808,705,201
4808,706,201
4808,707,201
4808,708,201
4808,709,201
4808,710,201
4808,711,201
4808,712,201
4808,713,201
4808,714,201
