cell_id,scale,selection_replicate,duty_id,trip_count,known_partition_continuously_feasible,known_partition_in_primary_expanded_space,fixed_sequence_pricing_certified,first_feasible_soc_step,first_feasible_block_min,nonrepresentability_reason,primary_soc_step,primary_block_min,adaptive_sensitivity_run,instance_file_sha256,ordered_trip_id_set_sha256,solver_local_trip_index_sha256,ordered_trip_sequence_sha256,trip_identity_schema
k08_s2,8,2,13322,26,True,False,False,,,no fixed-duty transition 71->74;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,13aa5dd1ae4976336d665d36bab0f99b9a15a61f41839c1ff19aa38e81362416,fa0eeb4484d3630ee8a9baae615cf00401cf0a1761732828811562466adad528,6996ef1e521579b02cece1a278a94cfcb55880b8ceaac7a369846acb2068325d,evsp-dr-trip-identity-v1
k08_s2,8,2,13403,14,True,False,False,,,no fixed-duty transition 115->131;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,13aa5dd1ae4976336d665d36bab0f99b9a15a61f41839c1ff19aa38e81362416,fa0eeb4484d3630ee8a9baae615cf00401cf0a1761732828811562466adad528,6996ef1e521579b02cece1a278a94cfcb55880b8ceaac7a369846acb2068325d,evsp-dr-trip-identity-v1
k08_s2,8,2,13407,17,True,False,False,,,no fixed-duty transition 160->166;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,13aa5dd1ae4976336d665d36bab0f99b9a15a61f41839c1ff19aa38e81362416,fa0eeb4484d3630ee8a9baae615cf00401cf0a1761732828811562466adad528,6996ef1e521579b02cece1a278a94cfcb55880b8ceaac7a369846acb2068325d,evsp-dr-trip-identity-v1
k08_s3,8,3,13305,30,True,False,False,,,no fixed-duty transition 54->59;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,31d1922f9e6ca0176f5d213b1a5fbe818911d18f8f7b9e5c1fae84126aad9142,08d44416d05bab0e6de9f9bc0f69a9873499ad7b804945d8eef9f031dc5a4e54,e8b69794c0bc2d2dcc283ce0b9c2eed88dda3ee2a9155b3ed420054b630bafdf,evsp-dr-trip-identity-v1
k08_s3,8,3,13308,31,True,False,False,,,no fixed-duty transition 139->143;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,31d1922f9e6ca0176f5d213b1a5fbe818911d18f8f7b9e5c1fae84126aad9142,08d44416d05bab0e6de9f9bc0f69a9873499ad7b804945d8eef9f031dc5a4e54,e8b69794c0bc2d2dcc283ce0b9c2eed88dda3ee2a9155b3ed420054b630bafdf,evsp-dr-trip-identity-v1
k08_s3,8,3,13310,24,True,False,False,,,no fixed-duty transition 68->70;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,31d1922f9e6ca0176f5d213b1a5fbe818911d18f8f7b9e5c1fae84126aad9142,08d44416d05bab0e6de9f9bc0f69a9873499ad7b804945d8eef9f031dc5a4e54,e8b69794c0bc2d2dcc283ce0b9c2eed88dda3ee2a9155b3ed420054b630bafdf,evsp-dr-trip-identity-v1
k08_s3,8,3,13316m,23,True,False,False,,,no fixed-duty transition 119->123;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,31d1922f9e6ca0176f5d213b1a5fbe818911d18f8f7b9e5c1fae84126aad9142,08d44416d05bab0e6de9f9bc0f69a9873499ad7b804945d8eef9f031dc5a4e54,e8b69794c0bc2d2dcc283ce0b9c2eed88dda3ee2a9155b3ed420054b630bafdf,evsp-dr-trip-identity-v1
k08_s3,8,3,13323,8,True,True,True,15.0,10,,15.0,10,False,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,31d1922f9e6ca0176f5d213b1a5fbe818911d18f8f7b9e5c1fae84126aad9142,08d44416d05bab0e6de9f9bc0f69a9873499ad7b804945d8eef9f031dc5a4e54,e8b69794c0bc2d2dcc283ce0b9c2eed88dda3ee2a9155b3ed420054b630bafdf,evsp-dr-trip-identity-v1
k08_s3,8,3,13401,12,True,True,True,15.0,10,,15.0,10,False,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,31d1922f9e6ca0176f5d213b1a5fbe818911d18f8f7b9e5c1fae84126aad9142,08d44416d05bab0e6de9f9bc0f69a9873499ad7b804945d8eef9f031dc5a4e54,e8b69794c0bc2d2dcc283ce0b9c2eed88dda3ee2a9155b3ed420054b630bafdf,evsp-dr-trip-identity-v1
k08_s3,8,3,13403,14,True,False,False,,,no fixed-duty transition 106->122;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,31d1922f9e6ca0176f5d213b1a5fbe818911d18f8f7b9e5c1fae84126aad9142,08d44416d05bab0e6de9f9bc0f69a9873499ad7b804945d8eef9f031dc5a4e54,e8b69794c0bc2d2dcc283ce0b9c2eed88dda3ee2a9155b3ed420054b630bafdf,evsp-dr-trip-identity-v1
