462783.extern|extern|COMPLETED|0:0|00:02:50|2026-09-25T12:44:21|2026-09-25T12:47:11|||jingjie-cpu-13
462784|st_cg_r21_spatial_PARX_x1p25|COMPLETED|0:0|00:25:49|2026-09-25T12:44:21|2026-09-25T13:10:10|16G||jingjie-cpu-17
462784.batch|batch|COMPLETED|0:0|00:25:49|2026-09-25T12:44:21|2026-09-25T13:10:10||1048668K|jingjie-cpu-17
462784.extern|extern|COMPLETED|0:0|00:25:49|2026-09-25T12:44:21|2026-09-25T13:10:10|||jingjie-cpu-17
462785|st_cl_r21_spatial_PARX_x1p25|RUNNING|0:0|00:20:24|2026-09-25T13:10:16|Unknown|16G||unicorn-cpu-74
462785.batch|batch|RUNNING|0:0|00:20:24|2026-09-25T13:10:16|Unknown|||unicorn-cpu-74
462785.extern|extern|RUNNING|0:0|00:20:24|2026-09-25T13:10:16|Unknown|||unicorn-cpu-74
462786|st_fx_r21_spatial_PARX_x1p25|COMPLETED|0:0|00:02:49|2026-09-25T12:44:21|2026-09-25T12:47:10|16G||jingjie-cpu-14
462786.batch|batch|COMPLETED|0:0|00:02:49|2026-09-25T12:44:21|2026-09-25T12:47:10||513088K|jingjie-cpu-14
462786.extern|extern|COMPLETED|0:0|00:02:50|2026-09-25T12:44:21|2026-09-25T12:47:11|||jingjie-cpu-14
462787|st_cg_r21_spatial_PARX_x1p50|COMPLETED|0:0|00:30:10|2026-09-25T12:44:21|2026-09-25T13:14:31|16G||jingjie-cpu-14
462787.batch|batch|COMPLETED|0:0|00:30:10|2026-09-25T12:44:21|2026-09-25T13:14:31||1141896K|jingjie-cpu-14
462787.extern|extern|COMPLETED|0:0|00:30:10|2026-09-25T12:44:21|2026-09-25T13:14:31|||jingjie-cpu-14
462788|st_cl_r21_spatial_PARX_x1p50|COMPLETED|0:0|00:00:07|2026-09-25T13:14:58|2026-09-25T13:15:05|16G||unicorn-cpu-74
462788.batch|batch|COMPLETED|0:0|00:00:07|2026-09-25T13:14:58|2026-09-25T13:15:05||4428K|unicorn-cpu-74
462788.extern|extern|COMPLETED|0:0|00:00:07|2026-09-25T13:14:58|2026-09-25T13:15:05|||unicorn-cpu-74
462789|st_fx_r21_spatial_PARX_x1p50|COMPLETED|0:0|00:03:13|2026-09-25T12:44:21|2026-09-25T12:47:34|16G||jingjie-cpu-14
